epoch,train_mse,validation_mse
1,1.011651178700241,1.0466972541809083
2,1.0003910672724547,1.0443448781967164
3,0.997482408830269,1.0499081134796142
4,0.9956724254330199,1.043091812133789
5,0.9970973274815622,1.0417851114273071
6,0.9892739842285463,1.0429114866256715
7,0.989101865183768,1.0399616837501526
8,0.9837320282231623,1.0362011003494263
9,0.9815279116582631,1.036741282939911
10,0.9831837787101018,1.03637592792511
11,0.9824527373265981,1.039006929397583
12,0.9753841305497902,1.038170075416565
13,0.976029813888684,1.0425180959701539
14,0.9705643204588387,1.0373162889480592
15,0.9680562172103767,1.0404102182388306
16,0.969297325790827,1.0440978336334228
17,0.9609712512049843,1.0385030937194824
18,0.9595407603973121,1.041622407436371
19,0.9528611607887038,1.034004225730896
20,0.9593562567653369,1.0482397317886352
21,0.9465312784041592,1.0471644878387452
22,0.9559580009786328,1.0455273175239563
23,0.9442405790539842,1.0469645500183105
24,0.9365735790837351,1.0538348054885864
25,0.9366330082093052,1.0452655816078187
26,0.9328068333055506,1.0449636197090149
27,0.9260201801606758,1.0465435361862183
28,0.9313544921539537,1.0486894464492797
29,0.911790198716686,1.053314597606659
30,0.9128666888529332,1.0568066906929017
31,0.9064640762218877,1.0734403133392334
32,0.9021369302692126,1.0719770121574401
33,0.9059313308054479,1.0694186329841613
34,0.9004627037886999,1.0627235317230224
35,0.8999205042968443,1.0815927600860595
36,0.8948232849039625,1.0723512172698975
37,0.8813318373569891,1.082378478050232
38,0.8796925296136482,1.085182213783264
39,0.8780229687690735,1.081749358177185
