epoch,train_loss,train_sentiment_loss,train_lda_loss,validation_loss,validation_sentiment_loss,validation_lda_loss
1,2.011513614175308,1.0070360299929901,1.0044775769938177,1.9500649070739746,1.0468269205093383,0.903237988948822
2,1.9954280523798573,1.003001269383646,0.9924267853923778,1.9416281270980835,1.0447917699813842,0.8968363761901855
3,1.9841000302952139,1.000837966724856,0.9832620683626913,1.9425764751434327,1.0508141469955445,0.8917623877525329
4,1.9708649285474615,0.9992937763132642,0.9715711525337181,1.9457176113128662,1.0446457195281982,0.9010718512535095
5,1.9679374215590895,0.9959144137013498,0.9720230057610938,1.9439015579223633,1.0446997022628783,0.8992018961906433
6,1.963591515718393,0.9978075680421226,0.9657839455796247,1.9430559253692627,1.0425438690185547,0.9005120730400086
7,1.9457892173498719,0.99317852456366,0.9526106978780661,1.9493271160125731,1.042623085975647,0.9067040514945984
8,1.9395502302514849,0.9944625173381825,0.9450877153094689,1.932922077178955,1.040239188671112,0.8926829481124878
9,1.9308988940176652,0.9912433228900085,0.9396555615429902,1.944309539794922,1.0390417671203613,0.9052678275108338
10,1.9234567563138416,0.991356879622493,0.9320998623143488,1.941706018447876,1.039665517807007,0.902040536403656
11,1.9104454074073676,0.9876573900481564,0.9227880026826907,1.945605344772339,1.0408872938156128,0.9047180724143982
12,1.8974163520276246,0.9882215674798093,0.9091947899391902,1.9344038105010986,1.0387145709991454,0.8956891822814942
13,1.8882934268395506,0.9845247565202377,0.903768655942313,1.9236991453170775,1.0360051918029785,0.8876939916610718
14,1.8719885433139514,0.9814449662539229,0.8905435863451742,1.919326343536377,1.0358294534683228,0.8834968912601471
15,1.870542765262738,0.982852539824481,0.8876902206459237,1.923118257522583,1.030928030014038,0.8921901869773865
16,1.864579815361368,0.9779103197644105,0.8866694836161244,1.937958345413208,1.0382203030586243,0.8997380256652832
17,1.8397246521321973,0.9727490038128953,0.866975653411156,1.931699275970459,1.037744927406311,0.8939543652534485
18,1.839686252363962,0.9706236408583483,0.8690626142013013,1.964157328605652,1.0507225012779235,0.913434808254242
19,1.8219622283724684,0.9691282444862864,0.8528339746010364,1.9566166400909424,1.039627947807312,0.9169886183738708
20,1.8052919833504375,0.9651501574108948,0.8401418328285217,1.952035117149353,1.0429287362098694,0.9091063618659974
21,1.8002250290396224,0.9629543555441813,0.8372706713987954,1.9631715488433839,1.0379066038131715,0.9252649474143982
22,1.7652922048041568,0.9507561850188365,0.814536003012154,1.955090126991272,1.0357106137275696,0.9193795704841614
23,1.7601947365094668,0.9514824481465709,0.8087122856672085,1.9702062797546387,1.044122920036316,0.9260833191871644
24,1.7457438569572103,0.9484804635071874,0.7972633865610439,1.963586869239807,1.0451056599617004,0.9184812283515931
25,1.7418909546118886,0.942407335468273,0.7994836071627823,2.016998529434204,1.0623620057106018,0.9546365451812744
26,1.7254959255007642,0.9413594193194978,0.784136507079829,2.0211682319641113,1.073438754081726,0.947729480266571
27,1.7144862742879283,0.9357777702149435,0.7787085112614848,1.9565158653259278,1.0415060496330262,0.9150098156929016
28,1.7121132354640483,0.9397816687972103,0.7723315687634837,2.048205018043518,1.0604381680488586,0.9877668690681457
29,1.689358972424838,0.9378814032329387,0.7514775479259204,1.9975475120544433,1.0466846990585328,0.9508627927303315
30,1.6433487531527802,0.9179925289585362,0.7253562313827437,2.0692074871063233,1.0720667791366578,0.997140691280365
31,1.6391746578504092,0.9178490518924579,0.7213255966728057,2.029743037223816,1.0628905582427979,0.9668524610996246
32,1.6227103705382226,0.9080569881889688,0.7146533748612331,2.0150236558914183,1.0608589696884154,0.9541647040843964
33,1.608478234640917,0.9051437551651768,0.7033344582097614,2.07671000957489,1.0759120893478393,1.000797863006592
34,1.6004555357161478,0.9013404139322252,0.6991151148949436,2.0482022857666013,1.061150803565979,0.9870514273643494
